№,Секунда,Микросекунда
1,53,977187
2,53,996415
3,54,16382
4,54,36395
5,54,56410
6,54,76622
7,54,96670
8,54,116745
9,54,136613
10,54,161922
11,54,177296
12,54,196633
13,54,216782
14,54,236406
15,54,256383
16,54,276616
17,54,296425
18,54,316532
19,54,336620
20,54,362651
21,54,376828
22,54,396723
23,54,416669
24,54,436509
25,54,456534
26,54,476892
27,54,496578
28,54,516545
29,54,536505
30,54,551302
31,54,567098
32,54,586587
33,54,615914
34,54,626170
35,54,638841
36,54,649027
37,54,659075
38,54,670082
39,54,680125
40,54,691057
41,54,701084
42,54,711090
43,54,721715
44,54,732057
45,54,742521
46,54,753053
47,54,763433
48,54,774054
49,54,784231
50,54,795061
51,54,805317
52,54,819202
53,54,846395
54,54,870066
55,54,880101
56,54,891060
57,54,902329
58,54,913034
59,54,923165
60,54,935040
61,54,945090
62,54,958365
63,54,970060
64,54,980136
65,54,992067
66,55,3060
67,55,13619
68,55,24222
69,55,38144
70,55,54544
71,55,70163
72,55,82433
73,55,97104
74,55,110899
75,55,124750
76,55,138396
77,55,154897
78,55,166464
79,55,180304
80,55,194282
81,55,207782
82,55,222027
83,55,235061
84,55,248947
85,55,270500
86,55,284392
87,55,297799
88,55,312045
89,55,326023
90,55,341812
91,55,353861
92,55,372820
93,55,395184
94,55,416204
95,55,426327
96,55,438469
97,55,456442
98,55,476486
99,55,496219
100,55,516506
101,55,536557
102,55,556526
103,55,576384
104,55,596365
105,55,616454
106,55,636615
107,55,656619
108,55,676579
109,55,696534
110,55,716259
111,55,736690
112,55,756374
113,55,776399
114,55,796584
115,55,811893
116,55,825672
117,55,839577
118,55,856530
119,55,873847
120,55,887644
121,55,901527
122,55,915148
123,55,929206
124,55,943171
125,55,956414
126,55,970721
127,55,984660
128,55,996539
129,56,12118
130,56,26303
131,56,40397
132,56,54491
133,56,68335
134,56,82259
135,56,95864
136,56,106456
137,56,116705
138,56,130597
139,56,144410
140,56,158191
141,56,172393
142,56,185993
143,56,199839
144,56,212292
145,56,227498
146,56,240911
147,56,251194
148,56,261791
149,56,273372
150,56,283577
151,56,295207
152,56,309231
153,56,320211
154,56,331124
155,56,341280
156,56,351907
157,56,362022
158,56,372143
159,56,382195
160,56,393783
161,56,409353
162,56,424898
163,56,435311
164,56,446300
165,56,456566
166,56,469957
167,56,488248
168,56,504589
169,56,516442
170,56,532644
171,56,555471
172,56,567431
173,56,580891
174,56,592285
175,56,602355
176,56,614137
177,56,629147
178,56,643354
179,56,657681
180,56,671381
181,56,686390
182,56,706232
183,56,726577
184,56,746246
185,56,765931
186,56,786195
187,56,806310
188,56,821191
189,56,832598
190,56,848132
191,56,866210
192,56,877169
193,56,887245
194,56,899233
195,56,909975
196,56,926904
197,56,938085
198,56,948115
199,56,958868
200,56,969121
201,56,979792
202,56,990223
203,57,488
204,57,11094
205,57,21545
206,57,32053
207,57,42355
208,57,53070
209,57,63071
210,57,73087
211,57,83398
212,57,96265
213,57,111195
214,57,125028
215,57,146504
216,57,166278
217,57,186509
218,57,206534
219,57,226627
220,57,246202
221,57,266466
222,57,286566
223,57,306215
224,57,326555
225,57,346689
226,57,357235
227,57,369053
228,57,380199
229,57,391075
230,57,402060
231,57,423375
232,57,433813
233,57,444025
234,57,454136
235,57,464176
236,57,474258
237,57,486194
238,57,502610
239,57,517207
240,57,528071
241,57,540087
242,57,550175
243,57,560233
244,57,571514
245,57,582165
246,57,592791
247,57,603103
248,57,613607
249,57,626325
250,57,639091
251,57,652119
252,57,662189
253,57,680116
254,57,690197
255,57,701134
256,57,720285
257,57,734806
258,57,745375
259,57,756748
260,57,772040
261,57,782254
262,57,794065
263,57,804537
264,57,814898
265,57,836682
266,57,856522
267,57,876731
268,57,896502
269,57,916681
270,57,932313
271,57,947083
272,57,958173
273,57,970097
274,57,980191
275,57,991037
276,58,1085
277,58,12130
278,58,25152
279,58,35345
280,58,61445
281,58,86304
282,58,96503
283,58,116581
284,58,136228
285,58,151382
286,58,163079
287,58,173338
288,58,184069
289,58,195233
290,58,206066
291,58,216195
292,58,228061
293,58,240091
294,58,251077
295,58,262090
296,58,273072
297,58,283929
298,58,294078
299,58,304826
300,58,315049
